Treatment	Percentage	Isolate	Replicate	Area
AE	30	OR	4	10.944
AE	30	OR	5	13.067
AE	50	OR	1	13.683
AE	50	OR	2	16.214
AE	50	OR	3	6.405
AE	50	OR	4	8.805
AE	50	OR	5	7.529
AE	70	OR	1	10.202
AE	70	OR	2	10.749
AE	70	OR	3	8.735
AE	70	OR	4	7.918
AE	70	OR	5	7.97
AE	30	TN	1	8.234
AE	30	TN	2	7.507
AE	30	TN	3	5.866
AE	30	TN	4	5.096
AE	30	TN	5	14.49
AE	50	TN	1	5.367
AE	50	TN	2	7.524
AE	50	TN	3	5.831
AE	50	TN	4	3.548
AE	50	TN	5	6.594
AE	70	TN	1	6.876
AE	70	TN	2	4.467
AE	70	TN	3	3.556
AE	70	TN	4	3.688
AE	70	TN	5	3.364
AF	30	CA	1	7.075
AF	30	CA	2	9.907
AF	30	CA	3	4.481
AF	30	CA	4	4.755
AF	30	CA	5	4.393
AF	50	CA	1	6.541
AF	50	CA	2	5.674
AF	50	CA	3	4.383
AF	50	CA	4	4.362
AF	50	CA	5	4.445
AF	70	CA	1	3.986
AF	70	CA	2	4.393
AF	70	CA	3	6.883
AF	70	CA	4	4.874
AF	70	CA	5	4.3
AF	30	OR	1	3.785
AF	30	OR	2	8.27
AF	30	OR	3	4.399
AF	30	OR	4	4.229
AF	30	OR	5	3.666
AF	50	OR	1	4.426
AF	50	OR	2	3.524
AF	50	OR	3	2.935
AF	50	OR	4	3.053
AF	50	OR	5	3.883
AF	70	OR	1	4.007
AF	70	OR	2	5.604
AF	70	OR	3	2.944
AF	70	OR	4	3.025
AF	70	OR	5	3.042
AF	30	TN	1	4.615
AF	30	TN	2	3.532
AF	30	TN	3	4.858
AF	30	TN	4	4.564
AF	30	TN	5	7
AF	50	TN	1	4.507
AF	50	TN	2	4.299
AF	50	TN	3	6.304
AF	50	TN	4	4.051
AF	50	TN	5	5.095
AF	70	TN	1	4.232
AF	70	TN	2	3.114
AF	70	TN	3	3.379
AF	70	TN	4	4.606
AF	70	TN	5	4.054
PDA	30	CA	1	10.291
PDA	30	CA	2	12.193
PDA	30	CA	3	9.042
PDA	30	CA	4	8.521
PDA	30	CA	5	13.234
PDA	50	CA	1	12.02
PDA	50	CA	2	8.251
PDA	50	CA	3	11.73
PDA	50	CA	4	14.163
PDA	50	CA	5	8.855
PDA	70	CA	1	9.5
PDA	70	CA	2	15.347
PDA	70	CA	3	13.639
